pig_id_unique,context,sample,institute,age_days,weight_start_kg,date,change_CORT,change_OXT,hr_min,weight_testsubjects,testpen_space_m2,play,escape,inactivity,ears_forward,ears_backward,CORT_change,OXT_change
2831,negative,post,WUR,47,18.48,15.12.2020,0.098314111,0.259378587,15.61666667,18.48,0.72,-0.343304873,-0.489990509,-0.502039678,0.538287061,-0.904638637,0.226376607,0.597241269
2831,positive,post,WUR,47,18.48,17.12.2020,0.222365459,0.061541164,12,44.86,11.25,1.602605276,-0.489990509,0.191107502,0.761430612,-0.211491456,0.512015392,0.141703768
2982,negative,post,WUR,60,19.88,10.11.2020,0.201838485,0.109038674,10.76666667,19.88,0.72,-0.343304873,-0.489990509,-0.502039678,0.656070097,0.193973652,0.464750288,0.251070825
2982,positive,post,WUR,60,19.88,12.11.2020,0.055245337,0.299812628,11.18333333,78.85,11.25,-0.343304873,-0.489990509,-0.502039678,0.943752169,-0.904638637,0.127207089,0.690344087
3111,negative,post,WUR,59,21.73,09.11.2020,-0.004767855,-0.175213855,11.23333333,21.73,0.72,-0.343304873,-0.489990509,-0.502039678,0.656070097,0.193973652,-0.010978392,-0.403444811
3111,positive,post,WUR,59,21.73,12.11.2020,0.01435815,0.064321273,10.06666667,84.39,11.25,0.349842308,-0.489990509,-0.502039678,0.538287061,0.193973652,0.033060862,0.148105204
3114,negative,post,WUR,59,20.34,10.11.2020,0.323542442,-0.063973975,15.16666667,20.34,0.72,-0.343304873,1.907904763,0.884254683,0.761430612,-0.211491456,0.744984003,-0.14730552
3114,positive,post,WUR,59,20.34,12.11.2020,0.364118079,-0.04674102,12.03333333,87.88,11.25,1.736136669,-0.489990509,-0.502039678,0.656070097,-0.904638637,0.838412862,-0.107625176
3168,negative,post,WUR,47,13.15,15.12.2020,0.263459615,0.05527292,10.76666667,13.15,0.72,-0.343304873,1.119447403,0.59657261,0.068283432,0.193973652,0.606638183,0.127270603
3168,positive,post,WUR,47,13.15,17.12.2020,0.158745352,-0.15429082,11.16666667,49.3,11.25,0.349842308,-0.489990509,0.191107502,0.761430612,-0.904638637,0.365524681,-0.355267741
3346,negative,post,WUR,60,15.08,09.11.2020,0.491268202,-0.098938474,7.566666667,15.08,0.72,-0.343304873,1.99491614,0.884254683,0.656070097,-0.211491456,1.131186839,-0.227814257
3346,positive,post,WUR,60,15.08,12.11.2020,0.304340183,0.32155666,9.15,80.82,11.25,NA,NA,NA,NA,NA,0.700769168,0.740411571
3395,negative,post,WUR,59,25.18,09.11.2020,0.015045462,0.046167295,7.8,25.18,0.72,-0.343304873,1.45591964,0.191107502,0.250604989,0.193973652,0.034643457,0.106304125
