institute,pig_group_unique,pig_id_unique,unique_paired,date,time,location,pen_space_m2,sample,context,context2,type,violation_expectations,age_days,weight_start_kg,group_weight_kg,oxyt_pgmL,cort_ngmL,eye_IRT_max,posture_at_sampling,tail_IRT_max,tail_IRT_min,tail_IRT_average,ear_IRT_max,ear_IRT_min,ear_IRT_average,snout_IRT_max,snout_IRT_min,snout_IRT_average
AU,AU_8,685,39,03.12.2021,11:01,home pen,13.52,post,negative,anticipation_noreward,physical,yes,113,81.9,327.7,49.066,1.903,37.85,lying,NA,NA,NA,NA,NA,NA,NA,NA,NA
INRAE,2209_1,213096,10d,12.07.2022,09:45,home pen,6.96,pre,positive,NA,NA,no,20,5.431,357.558,251.549,12.949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INRAE,2209_1,213096,10d,12.07.2022,10:29,home pen,6.96,post,positive,NA,NA,no,20,5.431,357.558,365.77,14.668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INRAE,2209_1,213097,12d,12.07.2022,09:45,home pen,6.96,pre,positive,NA,NA,no,20,3.758,357.558,206.678,13.622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INRAE,2209_1,213097,12d,12.07.2022,10:29,home pen,6.96,post,positive,NA,NA,no,20,3.758,357.558,138.394,8.895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INRAE,2209_1,213098,14d,12.07.2022,09:45,home pen,6.96,pre,positive,NA,NA,no,20,6.16,357.558,154.671,13.593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INRAE,2209_1,213098,14d,12.07.2022,10:29,home pen,6.96,post,positive,NA,NA,no,20,6.16,357.558,229.666,9.726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INRAE,2209_1,213099,16d,12.07.2022,09:45,home pen,6.96,pre,positive,NA,NA,no,20,5.763,357.558,195.807,7.987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INRAE,2209_1,213099,16d,12.07.2022,10:29,home pen,6.96,post,positive,NA,NA,no,20,5.763,357.558,258.451,11.177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INRAE,2209_2,213213,26d,12.07.2022,09:45,home pen,6.96,pre,positive,NA,NA,no,20,4.001,368.47,NA,3.867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INRAE,2209_2,213213,26d,12.07.2022,10:29,home pen,6.96,post,positive,NA,NA,no,20,4.001,368.47,182.473,5.326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INRAE,2209_2,213215,28d,12.07.2022,09:45,home pen,6.96,pre,positive,NA,NA,no,20,4.253,368.47,336.638,4.028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INRAE,2209_2,213215,28d,12.07.2022,10:29,home pen,6.96,post,positive,NA,NA,no,20,4.253,368.47,248.111,7.903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INRAE,2209_2,213216,30d,12.07.2022,09:45,home pen,6.96,pre,positive,NA,NA,no,20,5.041,368.47,253.964,5.955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INRAE,2209_2,213216,30d,12.07.2022,10:29,home pen,6.96,post,positive,NA,NA,no,20,5.041,368.47,213.615,3.241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INRAE,2209_2,213217,32d,12.07.2022,09:45,home pen,6.96,pre,positive,NA,NA,no,20,5.173,368.47,NA,7.949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INRAE,2209_2,213217,32d,12.07.2022,10:29,home pen,6.96,post,positive,NA,NA,no,20,5.173,368.47,310.342,6.308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INRAE,2209_3,213241,34d,12.07.2022,09:45,home pen,6.96,pre,positive,NA,NA,no,20,4.423,352.61075,136.811,10.447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INRAE,2209_3,213241,34d,12.07.2022,10:29,home pen,6.96,post,positive,NA,NA,no,20,4.423,352.61075,NA,8.646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INRAE,2209_3,213244,36d,12.07.2022,09:45,home pen,6.96,pre,positive,NA,NA,no,20,7.006,352.61075,206.615,38.123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INRAE,2209_3,213244,36d,12.07.2022,10:29,home pen,6.96,post,positive,NA,NA,no,20,7.006,352.61075,NA,11.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INRAE,2209_3,213246,38d,12.07.2022,09:45,home pen,6.96,pre,positive,NA,NA,no,20,7.327,352.61075,212.361,22.347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INRAE,2209_3,213246,38d,12.07.2022,10:29,home pen,6.96,post,positive,NA,NA,no,20,7.327,352.61075,NA,27.719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INRAE,2209_3,213249,40d,12.07.2022,09:45,home pen,6.96,pre,positive,NA,NA,no,20,7.757,352.61075,178.661,31.505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INRAE,2209_3,213249,40d,12.07.2022,10:29,home pen,6.96,post,positive,NA,NA,no,20,7.757,352.61075,NA,14.112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INRAE,2209_41,213096,9d,22.07.2022,09:55,test pen,8.88,pre,negative,NA,NA,no,30,7.35,96.8,160.651,6.315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INRAE,2209_41,213096,9d,22.07.2022,10:26,test pen,8.88,post,negative,NA,NA,no,30,7.35,96.8,185.414,14.868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INRAE,2209_41,213097,11d,22.07.2022,09:55,test pen,8.88,pre,negative,NA,NA,no,30,8.07,96.8,364.462,12.881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INRAE,2209_41,213097,11d,22.07.2022,10:26,test pen,8.88,post,negative,NA,NA,no,30,8.07,96.8,452.919,14.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INRAE,2209_41,213098,13d,22.07.2022,09:55,test pen,8.88,pre,negative,NA,NA,no,30,8.93,96.8,75.466,5.535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INRAE,2209_41,213098,13d,22.07.2022,10:26,test pen,8.88,post,negative,NA,NA,no,30,8.93,96.8,191.174,6.859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INRAE,2209_41,213099,15d,22.07.2022,09:55,test pen,8.88,pre,negative,NA,NA,no,30,7.88,96.8,184.509,7.281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INRAE,2209_41,213099,15d,22.07.2022,10:26,test pen,8.88,post,negative,NA,NA,no,30,7.88,96.8,160.453,6.459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INRAE,2209_41,213213,25d,22.07.2022,09:55,test pen,8.88,pre,negative,NA,NA,no,30,6.39,96.8,187.023,7.294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INRAE,2209_41,213213,25d,22.07.2022,10:26,test pen,8.88,post,negative,NA,NA,no,30,6.39,96.8,155.139,9.502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INRAE,2209_41,213215,27d,22.07.2022,09:55,test pen,8.88,pre,negative,NA,NA,no,30,6.65,96.8,126.106,5.885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INRAE,2209_41,213215,27d,22.07.2022,10:26,test pen,8.88,post,negative,NA,NA,no,30,6.65,96.8,222.781,4.323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INRAE,2209_41,213216,29d,22.07.2022,09:55,test pen,8.88,pre,negative,NA,NA,no,30,6.83,96.8,95.31,3.682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INRAE,2209_41,213216,29d,22.07.2022,10:26,test pen,8.88,post,negative,NA,NA,no,30,6.83,96.8,NA,10.112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INRAE,2209_41,213217,31d,22.07.2022,09:55,test pen,8.88,pre,negative,NA,NA,no,30,7.37,96.8,225.983,11.469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INRAE,2209_41,213217,31d,22.07.2022,10:26,test pen,8.88,post,negative,NA,NA,no,30,7.37,96.8,NA,14.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
