institute,pig_group_unique,pig_id_unique,date,time,location,sample,context,pen_space_m2,group_weight_kg,locomotor_play,escape_events,scans_activity_coded,scans_inactive,scans_tailposture_coded,scans_tailcurled,scans_tailextended,scans_tailtucked,num_scans_tailtip_coded,scans_tailtip_right,scans_tailtip_left,scans_tailtip_center,scans_ear_coded,ear_not_coded,ear_forward,ear_backward,ear_mixed
IRTA,homepen_4,304red,16.12.2021,09:56,home pen,pre,negative,2,134.75,0,17,11,0,10,4,4,2,7,1,0,6,11,0,0,11,0
IRTA,homepen_4,4yellow,10.12.2021,09:29,home pen,pre,positive,2,134.75,0,0,11,0,9,9,0,0,9,0,0,9,11,0,5,3,3
IRTA,homepen_4,4yellow,16.12.2021,09:56,home pen,pre,negative,2,134.75,0,10,11,0,11,1,4,6,10,1,0,9,11,0,1,10,0
IRTA,homepen_7,307red,10.12.2021,09:22,home pen,pre,positive,2,136.93,0,0,11,1,7,1,5,1,5,1,0,4,10,1,6,0,4
IRTA,homepen_7,307red,16.12.2021,09:47,home pen,pre,negative,2,136.93,0,8,11,0,10,0,8,2,9,4,0,5,11,0,0,6,5
IRTA,homepen_7,407orange,10.12.2021,09:16,home pen,pre,positive,2,136.93,0,0,11,0,4,0,4,0,4,0,0,4,10,1,4,4,2
IRTA,homepen_7,407orange,16.12.2021,09:47,home pen,pre,negative,2,136.93,0,10,11,0,8,0,3,5,8,1,1,6,11,0,0,10,1
IRTA,homepen_7,7yellow,10.12.2021,09:19,home pen,pre,positive,2,136.93,0,0,11,0,10,2,8,0,10,3,1,6,11,0,3,5,3
IRTA,homepen_7,7yellow,16.12.2021,09:50,home pen,pre,negative,2,136.93,0,15,11,0,9,0,6,3,8,2,0,6,10,1,1,7,2
IRTA,homepen_8,108blue,10.12.2021,09:42,home pen,pre,positive,2,143.2,0,0,11,0,7,5,2,0,7,6,0,1,9,2,3,5,1
IRTA,homepen_8,108blue,16.12.2021,10:04,home pen,pre,negative,2,143.2,0,12,11,0,8,3,2,3,8,4,0,4,10,1,1,9,0
IRTA,homepen_8,208green,10.12.2021,09:46,home pen,pre,positive,2,143.2,0,0,11,0,11,6,5,0,10,6,4,0,10,1,8,1,1
IRTA,homepen_8,208green,16.12.2021,10:08,home pen,pre,negative,2,143.2,0,7,11,0,9,4,3,2,9,3,2,4,11,0,0,10,1
IRTA,homepen_8,305red,10.12.2021,09:43,home pen,pre,positive,2,143.2,0,0,11,0,10,0,10,0,10,0,2,8,11,0,2,5,4
IRTA,homepen_8,305red,16.12.2021,10:07,home pen,pre,negative,2,143.2,0,6,11,0,10,0,0,10,10,0,0,10,10,1,0,9,1
IRTA,homepen_9,109blue,10.12.2021,09:24,home pen,pre,negative,2,144.15,0,0,11,0,10,4,6,0,10,2,0,8,11,0,11,0,0
IRTA,homepen_9,109blue,16.12.2021,09:52,home pen,pre,positive,2,144.15,0,0,11,0,9,8,1,0,9,7,1,1,8,3,5,1,2
IRTA,homepen_9,309red,10.12.2021,09:29,home pen,pre,negative,2,144.15,0,1,11,0,9,0,9,0,6,0,0,6,11,0,7,0,4
IRTA,homepen_9,309red,16.12.2021,09:55,home pen,pre,positive,2,144.15,0,1,11,0,6,0,4,2,6,1,2,3,7,4,2,1,4
IRTA,homepen_9,409orange,10.12.2021,09:29,home pen,pre,negative,2,144.15,0,0,11,0,10,2,8,0,10,0,0,10,11,0,6,4,1
IRTA,homepen_9,409orange,16.12.2021,09:52,home pen,pre,positive,2,144.15,1,0,11,0,10,0,0,10,10,0,0,10,9,2,4,2,3
WUR,testpen_213,244,05.10.2020,07:02,test pen,pre,negative,0.72,17.26,0,1,11,1,10,8,2,0,9,7,1,1,11,0,10,0,1
WUR,testpen_213,244,08.10.2020,08:52,test pen,pre,positive,11.25,62.67,7,0,11,2,9,6,3,0,9,7,2,0,11,0,8,1,2
WUR,testpen_213,1185,05.10.2020,07:13,test pen,pre,negative,0.72,16.73,0,0,11,0,11,2,9,0,8,8,0,0,11,0,6,5,0
WUR,testpen_213,1185,08.10.2020,08:56,test pen,pre,positive,11.25,62.67,5,0,11,0,10,7,3,0,9,3,5,1,11,0,9,2,0
WUR,testpen_213,1466,05.10.2020,07:28,test pen,pre,negative,0.72,13.16,0,0,11,0,11,11,0,0,9,1,8,0,11,0,9,1,1
WUR,testpen_213,1466,08.10.2020,08:58,test pen,pre,positive,11.25,62.67,5,0,11,0,10,10,0,0,3,1,2,0,11,0,6,2,3
WUR,testpen_213,223002,05.10.2020,07:39,test pen,pre,negative,0.72,15.52,0,3,11,2,11,10,1,0,11,0,11,0,11,0,9,1,1
